,n,eta,s0,R,d,C1,C2,C3,g1,g2,g3
0,0.3718102027036333,0.4912299590234984,0.8110002589868844,0.3694413401976223,0.6448388064571874,0.4588686439917569,0.41090893347451973,0.6676640328926378,0.468681357693491,0.45209349520499653,0.99204970367788
1,0.71617828657007,0.495912391108066,0.07931520041562935,0.5010759392953213,0.4023459950086667,0.6380996990545065,0.5476800244134448,0.35812707387421017,0.7754983984705822,0.22031518779689815,0.0067372180480542365
2,0.36118064043135106,0.5060794457770107,0.8140445559306045,0.5331549919150076,0.3800834169233944,0.6900940442979855,0.12436308519629478,0.71857424021687,0.44408077002496676,0.7786444935473721,0.9915363837548586
3,0.4085908534917354,0.4720671816434306,0.7220590653703162,0.2955827252305889,0.7388151012210277,0.592709977462165,0.6438881715430285,0.26122613517863846,0.6951422517512218,0.5459017422217028,0.9908606658859321
4,0.286889414901679,0.6432805493271049,0.7841516985508531,0.5528919527202378,0.35258523912266015,0.7301554124689852,0.22368138122170647,0.15888168156003626,0.6307320718799427,0.1740124783450706,0.8871251967961699
5,0.5689509930667107,0.4360925645400496,0.4991582270350537,0.5252577937439068,0.395907657103576,0.24543094715802224,0.9902435863390684,0.9182524820768663,0.4818997645600913,0.6914184104332654,0.6235370193594253
6,0.6862597915138022,0.4294464794066557,0.3212281189439041,0.6358799047027622,0.29466722211099705,0.326263195130195,0.700470732686969,0.8808900115460997,0.4128147718144,0.6134991831695776,0.4652634506235822
7,0.7107382842376647,0.4125551470391184,0.2909947108952479,0.4139576771446425,0.5349341411077684,0.3098325884086895,0.9900119053287255,0.5664112980865114,0.4843574076952465,0.7277048543875533,0.079109453256439
8,0.4153787040379077,0.5227459693757205,0.6398756075304096,0.4336463170434515,0.5012243590470238,0.7809533389475148,0.020907203715559135,0.7038148705524867,0.47581400865200923,0.652825578827245,0.43259546887459976
9,0.5121087531150447,0.4720236260066395,0.5274032949218037,0.5223945598595102,0.38789893537121056,0.3070644729838834,0.9900749358970039,0.9829081814385058,0.6273808816694044,0.6282336687168154,0.9902229155503118
