,n,eta,s0,R,d,C1,C2,C3,g1,g2,g3
0,0.48373828923397455,0.5389504491703994,0.5093005597637913,0.29743445264883134,0.7040294279835675,0.46532194835268426,0.2894562968047763,0.8335160138826014,0.38357688774543,0.5191111136561062,0.06961523379952186
1,0.6010440399524997,0.4499195321506602,0.43330500089947394,0.25274320530962746,0.7649131054203803,0.4022101578949077,0.7160621879315593,0.7076282549401063,0.5704951237789067,0.5929883363725389,0.8727023745212117
2,0.8916647174488106,0.3704961851488615,0.21017187735454354,0.5409047044408368,0.34138649546736144,0.40651800963989065,0.44159855410616516,0.8841667151054196,0.44661989249648015,0.534975218839177,0.9927393381345919
3,0.2853824933556008,0.6717981856941199,0.7896480116430619,0.3339361643550938,0.5820523465020419,0.4835748103073965,0.5170644537941064,0.5499560862455467,0.3530281539834948,0.9920014337310692,0.22306030057050424
4,0.48269520827783025,0.5067357114180935,0.5621358862727045,0.34094847814806367,0.5756280785891902,0.5217134594649846,0.5140898831530403,0.5382622510136569,0.6370620482624828,0.40421433840465015,0.7071937895361418
5,0.579367852733386,0.4370119502159268,0.5181371402370695,0.6552613218864045,0.20317792098202977,0.49493216588710515,0.778197521214995,0.3228865925745897,0.8676269661429786,0.38573770862612144,0.7301984246715724
6,0.4920041186118963,0.5036253160389452,0.5694367845947467,0.3847723381207875,0.5222255658099116,0.4486174585891438,0.42547159022293657,0.22524349481655004,0.3660459389191136,0.5938637044118983,0.8688788397152455
7,0.4525400659735551,0.5917408748509282,0.46072613034466975,0.4330139840396178,0.3980319971130026,0.682577792678896,0.3991569311382574,0.37382435762429955,0.5071290023013549,0.8101339379457951,0.00473600218508148
8,0.4869037234743362,0.5582739636745845,0.44860081503462934,0.2951574458391309,0.67021452302938,0.3769108632532474,0.7323514044962744,0.663605764356555,0.6169705607975693,0.4370775583306861,0.12486557080477383
9,0.20133040790544657,0.7982163541595461,0.8967871091002558,0.3977126675288396,0.4815315777435251,0.3404143412493581,0.812980272101376,0.23468132256621432,0.669353023307207,0.39598684630396747,0.6120610259893802
