,n,eta,s0,R,d
0,0.3096784566051716,0.6349184479692126,0.48115204907518583,0.5398851112920515,0.7341816711540946
1,0.5063091380333261,0.502294827357078,0.6718073164510068,0.5386622003325274,0.3774763727402046
2,0.47619188594629536,0.4972712316138678,0.7608204776636646,0.5099377113229004,0.41195440827497654
3,0.5005436586666241,0.5063737817580729,0.5520473276778401,0.5106854635350453,0.5327396657931501
4,1.0000000000000009,0.4169665523384786,-1.4681382638528366e-09,1.0000000000000004,-5.81307054273117e-15
5,0.7682858095155681,0.428504660917151,0.4622805928625052,0.5079088272981207,0.3723907434017474
6,0.6852622089529702,0.4624999125282829,0.35956947220088964,0.5192005332536721,0.473669429727252
7,0.6193681368847509,0.45809069882414366,0.5024060758999971,0.49645899142120054,0.49946178336054436
8,0.48264833854559414,0.5088870213577338,0.6787240022579452,0.5237214235162927,0.4244967625764457
9,0.36839193773095874,0.5606335978014343,0.8243239979826238,0.5132375950610177,0.4505847557667398
