,n,eta,s0,R,d,C1,C2,C3,g1,g2,g3
0,0.5746074084154963,0.4473788408449659,0.4542028473196535,0.45925971304968416,0.4684848000087406,0.7024219947447308,0.19553186088415597,0.5511753820284735,0.516951205663658,0.4881847582888349,0.8539506657683444
1,0.5733898964182693,0.4462183452899495,0.4533005807620452,0.38199958594053846,0.5864823784703447,0.6337616708477398,0.32898461278102903,0.40637688729000526,0.44215106736909887,0.7343887043811168,0.8996323989085498
2,0.8491040105117577,0.3966405540913861,0.12895123256168464,0.5964082765005868,0.31145943131746184,0.6109233630616083,0.5026887862021995,0.40850818945972056,0.6778265323058079,0.36309875672189884,0.99061633891877
3,0.2202393405928423,0.757125379846079,0.8253946064798784,0.4059352607649024,0.5386190367502994,0.29244311368362524,0.9842657964281915,0.726698478141596,0.3720763911580214,0.8882697724787293,0.007893778163238925
4,0.4377597068409154,0.5610643173066246,0.46844117186650935,0.31004474130404513,0.6700077060653152,0.6245114842184922,0.8246706682046987,0.5324277225954039,0.6782745128575748,0.8043711203648133,0.6974154980749758
5,0.3590226662202184,0.5690942107703918,0.6943809433764917,0.38232871162099114,0.585173046500432,0.461282613956519,0.6333201554847304,0.8019572465163191,0.38379964285260687,0.942569425483147,0.9472137968621414
6,0.47174450710431187,0.4686935924537497,0.622103706485663,0.3867398542043925,0.5926343693102275,0.6589551372324551,0.16165267553825383,0.009912811643387195,0.39886646216695504,0.5415561439584609,0.9908701086470829
7,0.4460276600557851,0.5072854887596235,0.6076694619801065,0.6349236024012485,0.2718449697751113,0.45881934597695667,0.7057660689965011,0.7665916047254759,0.5883008232707229,0.5851117971836671,0.8456907806315811
8,0.49568521553363315,0.49329121035048473,0.5189885169671371,0.5298891952091078,0.37607390336281377,0.7902778696085235,0.10285290833680616,0.21699100629574916,0.5616802672817964,0.26198898877384136,0.008050004018664129
9,0.48176412176421946,0.4879218026417159,0.5564019305743252,0.4536500355442071,0.47459352315756215,0.6585070992969047,0.25879323455149505,0.9910317147245854,0.4770785960837358,0.7796816863914757,0.1630415749024958
